job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Node.js Backend Engineer,Explore Group,https://www.linkedin.com/company/explore-group/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQFiGC9oIVI0eQ/company-logo_100_100/0/1657008238485?e=1675900800&v=beta&t=d-NmgIqkbGTilxtFdlY5U7UkXtwXgo0D_CAA5Ki2wV4,Remote,17 hours ago,57 applicants,Full-time · Mid-Senior level
Back End Developer,S-RM,https://www.linkedin.com/company/s-rm/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/D4E0BAQFK_fwFl_iZIg/company-logo_100_100/0/1667820731579?e=1675900800&v=beta&t=pwSt1FmKucSfktEa_PkUf4leGaCTJ8Tj-vcQxDQIbYQ,Hybrid,2 weeks ago,25 applicants,Full-time · Mid-Senior level
Backend Software Engineer [Remote - United Kingdom],Confluent,https://www.linkedin.com/company/confluent/life/,"England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQG-V4d52WYJjA/company-logo_100_100/0/1654720559861?e=1675900800&v=beta&t=zsacogY35iH6LgmDuWgXJbA6SOtC0wPm3I19lab5gDk,Remote,4 days ago,ERR,Entry level
Senior Frontend Developer - Cryptocurrency/Web3,Understanding Recruitment,https://www.linkedin.com/company/understanding-recruitment/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQEi98b-tf2v4w/company-logo_100_100/0/1663686753983?e=1675900800&v=beta&t=ItHTCSDe63_glYtHTB_hQNKP-t1DpC3sMZyjWJdQDPA,Remote,1 week ago,42 applicants,"£85,000/yr - £95,000/yr · Full-time · Mid-Senior level"
Backend Engineer Golang,Empresa Confidencial,https://www.linkedin.com/company/empresa-confidencial/life/,EMEA,https://media-exp1.licdn.com/dms/image/C4D0BAQHvDSH7kxT3Yg/company-logo_100_100/0/1588185710534?e=1675900800&v=beta&t=2I4zylKvnLmBjYWfbGbHAEGa6nHNRETfVBRXt4cI_mE,Remote,2 weeks ago,ERR,Full-time · Mid-Senior level
Back End .NET / Umbraco Developer – FULLY REMOTE,Preferred Choice,https://www.linkedin.com/company/preferred-choice/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQGXzU06c0vQxA/company-logo_100_100/0/1550224859158?e=1675900800&v=beta&t=towL7WuzMpK1xUVcICljqp45xy-GFJI9uEC7Ko0saJk,Remote,1 week ago,197 applicants,Full-time
Back End Developer,Staffgroup UK & Europe,https://www.linkedin.com/company/staffgroup/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4D0BAQHpMrkWFRf74A/company-logo_100_100/0/1617701611440?e=1675900800&v=beta&t=vPbb9ZzfSYRrj_Vh1x2jQubYX1MZuIUKn457HdPPDys,Hybrid,2 weeks ago,77 applicants,"£80,000/yr - £90,000/yr · Full-time · Mid-Senior level"
Back End Developer,emap,https://www.linkedin.com/company/emap/life/,"Croydon, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQH-cQvqwrp6hA/company-logo_100_100/0/1663769156823?e=1675900800&v=beta&t=rBwDHNMm0qWbgzb6VgTFhctME3Vyi6_d6Q9_NHBl3zI,Hybrid,1 week ago,15 applicants,"£40,000/yr - £45,000/yr · Full-time · Mid-Senior level"
Mobile App Automation Engineer,Bark.com,https://www.linkedin.com/company/bark-com/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C4E0BAQFByvseXZHLEQ/company-logo_100_100/0/1564399422904?e=1675900800&v=beta&t=w2F3s1l4fjJlzSGWg7Y4MaAQoshIwgamcdnfTulNvRk,Remote,2 weeks ago,40 applicants,Full-time · Mid-Senior level
Senior Full Stack Developer,Cerillion Technologies,https://www.linkedin.com/company/cerillion-technologies/life/,"London, England, United Kingdom",https://media-exp1.licdn.com/dms/image/C560BAQF1HXjYmqJs_Q/company-logo_100_100/0/1519856423240?e=1675900800&v=beta&t=0ET76bSLlxnvNyUTkqrDpIcCx5aUs7OAXL3AtUxvL0M,On-site,2 weeks ago,37 applicants,Full-time · Mid-Senior level
