job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
"Senior Backend Engineer, Talent Lifecycle",WorkMotion,https://www.linkedin.com/company/workmotionglobal/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=1676505600&v=beta&t=eCPwa-6PvEaqLM8fAorcYa5caQJnT8o_nI1onOw3MBw,Remote,3 weeks ago,2 applicants,Full-time · Mid-Senior level
"Senior Backend Engineer, Talent Lifecycle",WorkMotion,https://www.linkedin.com/company/workmotionglobal/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=1676505600&v=beta&t=eCPwa-6PvEaqLM8fAorcYa5caQJnT8o_nI1onOw3MBw,Remote,3 weeks ago,2 applicants,Full-time · Mid-Senior level
Senior Software Engineer (Backend) – Customer Payments (m/f/d),Raisin,https://www.linkedin.com/company/join-raisin-ds/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C560BAQGz9FQVATVRAQ/company-logo_100_100/0/1647426086850?e=1676505600&v=beta&t=A6Jzian7pLbDg9tWyxBx04wigq9MWpcqg-jTDqoJjQ8,Remote,1 week ago,17 applicants,Full-time · Entry level
Backend Developer (ASP.Net Core),freiheit.software,https://www.linkedin.com/company/freiheit-software/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQHzUqmks7ZTWg/company-logo_100_100/0/1519952258244?e=1676505600&v=beta&t=RssmvPNgqp692TGEyTQXh2roNrUOn5CR6ag4L0M2yb0,Remote,1 week ago,ERR,Full-time
Senior Data Backend Engineer - Marketing Orchestration (m/f/d) (Remote),Yelp,https://www.linkedin.com/company/yelp-com/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C560BAQEZtZ8AGku9DA/company-logo_100_100/0/1631836421767?e=1676505600&v=beta&t=Zv47fJVvyfiI4AWGkhdKVXV1nKcfA9u_vEHDVkMG2kc,Remote,1 week ago,6 applicants,Full-time · Mid-Senior level
Senior Data Backend Engineer - Marketing Orchestration (m/f/d) (Remote),Yelp,https://www.linkedin.com/company/yelp-com/life/,Germany,https://media-exp1.licdn.com/dms/image/C560BAQEZtZ8AGku9DA/company-logo_100_100/0/1631836421767?e=1676505600&v=beta&t=Zv47fJVvyfiI4AWGkhdKVXV1nKcfA9u_vEHDVkMG2kc,Remote,1 week ago,5 applicants,Full-time · Mid-Senior level
"Senior Backend Engineer, Payroll",WorkMotion,https://www.linkedin.com/company/workmotionglobal/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=1676505600&v=beta&t=eCPwa-6PvEaqLM8fAorcYa5caQJnT8o_nI1onOw3MBw,Remote,4 weeks ago,1 applicant,Full-time · Mid-Senior level
"Senior Backend Engineer, Payroll",WorkMotion,https://www.linkedin.com/company/workmotionglobal/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=1676505600&v=beta&t=eCPwa-6PvEaqLM8fAorcYa5caQJnT8o_nI1onOw3MBw,Remote,1 month ago,3 applicants,Full-time · Mid-Senior level
"Senior Backend Engineer, Payroll",WorkMotion,https://www.linkedin.com/company/workmotionglobal/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=1676505600&v=beta&t=eCPwa-6PvEaqLM8fAorcYa5caQJnT8o_nI1onOw3MBw,Remote,1 month ago,5 applicants,Full-time · Mid-Senior level
DevOps engineering specialist,Distributed,https://www.linkedin.com/company/dstbtd/life/,EMEA,https://media-exp1.licdn.com/dms/image/C4D0BAQFLeGHE2WtsyA/company-logo_100_100/0/1566400767563?e=1676505600&v=beta&t=mYLGODbzXDu1JH14-LqkpuQMTZmpxPhajMF1z1lj7K8,Remote,3 weeks ago,ERR,Contract · Mid-Senior level
NATO Government iOS Engineer (Senior) – Cybersecurity 100% Remote within Germany ≤85k Eur,Baldur Connect,https://www.linkedin.com/company/baldurconnect/life/,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQGPIzAA4a1gIQ/company-logo_100_100/0/1617266878794?e=1676505600&v=beta&t=_uc3ePypPOYfALQ_r7hpSg-zjeW0H72mh9u35DhXJxc,Remote,4 days ago,12 applicants,Full-time
Senior Product Designer - EMEA,Sauce Labs,https://www.linkedin.com/company/sauce-labs/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQH2lb9V2vxLtg/company-logo_100_100/0/1657220892390?e=1676505600&v=beta&t=JqrcYUlcNy7Rt0S-v6WWemEG7YlE_byKvOrnfGvmrZ0,Remote,1 week ago,134 applicants,Full-time · Mid-Senior level
Vice President of Developer Relations,Confidential Jobs,https://www.linkedin.com/company/confidential1234/life/,"Berlin, Berlin, Germany",https://media-exp1.licdn.com/dms/image/C4E0BAQEi1DJ4p374gQ/company-logo_100_100/0/1643906486036?e=1676505600&v=beta&t=vMWHMQHci5Gp4hDmfp4XTdAzwPQV6w-gutXFfA0xFeY,Remote,3 weeks ago,13 applicants,Full-time · Executive
Director of Engineering - Experience,Spotify,https://www.linkedin.com/company/spotify/life/,Germany,https://media-exp1.licdn.com/dms/image/C560BAQFkDzx_7dqq3A/company-logo_100_100/0/1519902995023?e=1676505600&v=beta&t=2u-2PoW_z5tZ7wTtVap0zC07b5DAjrSNdKGfVAf3xCU,Remote,1 week ago,ERR,Full-time · Director
Senior ASO Consultant (remote),Phiture,https://www.linkedin.com/company/phiture/life/,"Berlin, Germany",https://media-exp1.licdn.com/dms/image/C560BAQGpdIpsEf2nqw/company-logo_100_100/0/1519895775131?e=1676505600&v=beta&t=70JQQkPbRdrK_nKiu78J5SK9FuQnCxMmS4Ts3S0W2pI,Remote,1 month ago,5 applicants,Full-time · Mid-Senior level
