job_title,company_name,company_linkedin_link,company_location,company_image,work_method,post_date,applicants,work_time
Senior Backend Engineer - Consumer Experience,Spotify,https://www.linkedin.com/company/spotify/life/,Spain,https://media-exp1.licdn.com/dms/image/C560BAQFkDzx_7dqq3A/company-logo_100_100/0/1519902995023?e=1675900800&v=beta&t=WrFqt6t24PlxdY680qAesPGVjw1WffLlzPn-2Z9hMcs,Remote,2 weeks ago,72 applicants,Full-time · Mid-Senior level
Frontend Developer (React and Typescript) - 100% Remote,Page Personnel,https://www.linkedin.com/company/pagepersonnel/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQG9IkUNSXBvsg/company-logo_100_100/0/1663662475507?e=1675900800&v=beta&t=Ac04VxFF6B00k8OuANTRTj49AHNYoyd6TfVZAKDzCUE,Remote,1 month ago,26 applicants,Full-time · Entry level
Senior Full stack Engineer (Remote In Europe - Permanent Employment),Prezi,https://www.linkedin.com/company/prezi/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQEYWAfni4JMBg/company-logo_100_100/0/1625242236312?e=1675900800&v=beta&t=P2UEWO-NNK3XQ7TjIzoxwEz6C6Gp6DL-vCOW2QyiOPA,Remote,1 week ago,53 applicants,Full-time · Mid-Senior level
Senior Frontend JavaScript Engineer (Madrid),hireful,https://www.linkedin.com/company/hireful/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C560BAQHP4eVVq6qtBw/company-logo_100_100/0/1663676619024?e=1675900800&v=beta&t=UXNgldbylGd2Gd1SbtwupwPz69maDvK3lBNwm_P9itM,Remote,1 week ago,34 applicants,Full-time · Mid-Senior level
Lead Backend Engineer | Revolutionary SaaS Start-up | Paris/European Wide Remote,Search Technology,https://www.linkedin.com/company/search-technology-limited/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQEP8Bj-xBlYxA/company-logo_100_100/0/1548443216470?e=1675900800&v=beta&t=7dkylwZE4qNsCNeLu1mZQ-AypPDHlYOC6WTVvHReFcM,Remote,6 hours ago,21 applicants,Full-time · Mid-Senior level
Backend Engineer (Integrations Team) - Remote (EU / South Korea),ChartMogul,https://www.linkedin.com/company/chartmogul/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQFXvyRTuW5_Rg/company-logo_100_100/0/1640702085819?e=1675900800&v=beta&t=cXSYeuRJD_kPyRmRasfr65aaVTGPq9sqPNZIcKnTxLU,Remote,4 days ago,22 applicants,Full-time · Mid-Senior level
Backend Developer,Veeva Systems,https://www.linkedin.com/company/veeva-systems/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQHW29Wyz9Q11w/company-logo_100_100/0/1519893549814?e=1675900800&v=beta&t=li5gHYfknRUX9gABphqARxRcP6q7o1dCqmtJ3L29ayg,Remote,1 week ago,22 applicants,Full-time
Frontend Developer,Casavo,https://www.linkedin.com/company/casavo-group/life/,European Union,https://media-exp1.licdn.com/dms/image/C4D0BAQGwkhU2gQ5UEg/company-logo_100_100/0/1663747671488?e=1675900800&v=beta&t=1J5JIhbLdqcN50oWReJIqnLs_fvzAxBQxCSBUx8FGsI,Remote,2 weeks ago,134 applicants,Full-time · Mid-Senior level
Frontend Developer,Cathedral Software,https://www.linkedin.com/company/cathedrals/life/,Spain,https://media-exp1.licdn.com/dms/image/C4E0BAQFBHlUEH70r6Q/company-logo_100_100/0/1586939101205?e=1675900800&v=beta&t=mqHPwlfxlgauZg2pgK27hc5xkvudj5GLQMBdODcHkE8,Remote,4 hours ago,123 applicants,Full-time · Associate
Frontend Engineer (React) - Remote,Qredo,https://www.linkedin.com/company/qredo/life/,EMEA,https://media-exp1.licdn.com/dms/image/C4D0BAQE4S-2DSEiyTQ/company-logo_100_100/0/1638278683656?e=1675900800&v=beta&t=BcN_brsNZ96gDcqlq9MwXq82R0fRO4M2Yi1j3u2YDPo,Remote,2 weeks ago,ERR,Full-time · Mid-Senior level
Full Stack Engineer (Remote In Europe - Permanent Employment),Prezi,https://www.linkedin.com/company/prezi/life/,European Union,https://media-exp1.licdn.com/dms/image/C560BAQEYWAfni4JMBg/company-logo_100_100/0/1625242236312?e=1675900800&v=beta&t=P2UEWO-NNK3XQ7TjIzoxwEz6C6Gp6DL-vCOW2QyiOPA,Remote,1 week ago,ERR,Full-time · Mid-Senior level
C#/Angular Developer,Verisk,https://www.linkedin.com/company/verisk-analytics/life/,"Alcorcón, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4E0BAQHsjp1GOw4Rmw/company-logo_100_100/0/1641304477836?e=1675900800&v=beta&t=FIp7fikPGvvlQup2WBe5o6Relyh3kWUeohEXQOJCP2Y,Remote,5 days ago,11 applicants,Full-time
ReactJS Frontend Engineer (LatAm),Outliant,https://www.linkedin.com/company/outliant/life/,Spain,https://media-exp1.licdn.com/dms/image/C560BAQGbZ8SwU1LdFg/company-logo_100_100/0/1634753178851?e=1675900800&v=beta&t=MTBF3PlZia7kEb2oNwU9DF_uXE9wp7p22og1OCa3aFg,Remote,2 weeks ago,126 applicants,Full-time · Entry level
Full stack Java developer (Remote),Asaitec Soluciones Informaticas,https://www.linkedin.com/company/asaitec-soluciones-informaticas/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4D0BAQH7lQsm7Rh3ww/company-logo_100_100/0/1519904160369?e=1675900800&v=beta&t=KWEtQEcRJ1zkKgQt_XxrliKoGvNgJ-Dmgvk9zKc_HDI,Remote,1 week ago,1 applicant,Full-time · Entry level
Desarrollador/a Frontend ARATECH,ARATECH lifestyle technology,https://www.linkedin.com/company/ara-technology/life/,"Madrid, Community of Madrid, Spain",https://media-exp1.licdn.com/dms/image/C4D0BAQGfdx-q-TvI4w/company-logo_100_100/0/1660122625477?e=1675900800&v=beta&t=HqwukkZ_HHvppKf9AOdNAfdRL37yxUxTnQSUnnhU0ZA,Remote,1 week ago,45 applicants,Full-time
